"","FF_GH_00000004","FF_GH_00000007","FF_GH_00000010","FF_GH_00000008","FF_GH_00000041","FF_GH_00000001","FF_GH_00000106","FF_GH_00000080","FF_GH_00000066","FF_GH_00000012","FF_GH_00000024","FF_GH_00000034","FF_GH_00000059","FF_GH_00000134","FF_GH_00000045","FF_GH_00000338","FF_GH_00000094","FF_GH_00000317","FF_GH_00000321","FF_GH_00000136","FF_GH_00000311","FF_GH_00000280","FF_GH_00000060","FF_GH_00000003","FF_GH_00000491","FF_GH_00000260","FF_GH_00000187","FF_GH_00000200","FF_GH_00000383","FF_GH_00000261","FF_GH_00000402","FF_GH_00000188","FF_GH_00000149","FF_GH_00001011","FF_GH_00001205","FF_GH_00000893","FF_GH_00000109","FF_GH_00000851","FF_GH_00000906","FF_GH_00001322","FF_GH_00001564","FF_GH_00001788","FF_GH_00002140","FF_GH_00000006","FF_GH_00002883","FF_GH_00000483","FF_GH_00003645","FF_GH_00000467","FF_GH_00001606","FF_GH_00002422","FF_GH_00000108","FF_GH_00001249","FF_GH_00001189","FF_GH_00001834","FF_GH_00004057","FF_GH_00001342","FF_GH_00007490","FF_GH_00000292","FF_GH_00001283","FF_GH_00001261","FF_GH_00001877","FF_GH_00001078","FF_GH_00002052","FF_GH_00006094","FF_GH_00010777","FF_GH_00003850","FF_GH_00001824","FF_GH_00001937","FF_GH_00000079","FF_GH_00006058","FF_GH_00022729","FF_GH_00019081","FF_GH_00033717","FF_GH_00000525","FF_GH_00005354","FF_GH_00021001","FF_GH_01653531"
"FF1_SS1",0.0445652753345061,0.176315368623061,0,0.0916093608401301,0.000106615491230876,0.212831174369636,0.00205234820619436,0.029878991417453,0.0259342182419105,0.0204168665707127,0.0195106348952503,0.0105016258862413,0.00610373687296764,0.00247881017111786,0.00935550935550936,0.0476304707073938,0,0.00509088970627432,0.237645929953622,0.000159923236846314,0.00231888693427155,0.000133269364038595,0.0145263606802068,0.00788954635108481,0.000559731328962098,0.0030918492456954,0.0045045045045045,0.000426461964923503,0.00149261687723226,0.00367823444746522,0.00239884855269471,0,0.000559731328962098,0,7.99616184231569e-05,0,0.00247881017111786,0,0.000133269364038595,0.00117277040353963,0,0.00117277040353963,2.6653872807719e-05,0,0.000959539421077883,2.6653872807719e-05,2.6653872807719e-05,0,0,0.00167919398688629,0.000159923236846314,0,0.000293192600884909,0,0,0.000559731328962098,0,0.000133269364038595,0,2.6653872807719e-05,0,0.000559731328962098,0,0,0,0,0,0,2.6653872807719e-05,0,0.00466442774135082,0,0,0,0.00205234820619436,0,0
"FF1_SS2",0,0.137551408777434,0.837088238300817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00958582022065473,0,0,0,0,0,0,0,0,1.57273506491464e-05,0,0,0,0,0,0,0.000644821376615002,0.000298819662333782,0.00110877822076482,0,0.00353865389605794,4.71820519474392e-05,0,0.00889381679209229,0,0,0,0,0,0,0,0,3.14547012982928e-05,0,0,0.000833549584404759,7.8636753245732e-06,0,0,0,0,0.000330274363632074,0,0,0,0,0,0,2.35910259737196e-05,0,0,0,0,0,0,0,0
"FF1_SS3",0.447779208239459,0.137572417122626,0.000140811071773415,0.0587383327969102,0.000362085613131638,0.0114861602832314,0.00299726424203412,0.084888960411973,0.0401512713228194,0.0106412938525909,0.0864378822014805,0.00939411007402639,0.00124718377856453,0.000965561635017702,0.0370735436112005,0.00183054393305439,0.00126729964596073,0.00685951078210492,4.02317347924042e-05,0.013537978757644,0,4.02317347924042e-05,0.000442549082716447,0.00362085613131638,0.00341969745735436,0.0114660444158352,0.00205181847441262,0,0.00203170260701641,0,0.00810669456066946,0,0.000402317347924042,6.03476021886064e-05,0,0.00066382362407467,0.00323865465078854,6.03476021886064e-05,0.00150869005471516,0.000784518828451883,0,0.00354039266173157,0,0,0.0009454457676215,4.02317347924042e-05,0.000301738010943032,0.000160926939169617,0,0,0.000402317347924042,0.000140811071773415,0.000261506276150628,0,0,0.000261506276150628,0.000140811071773415,0.000201158673962021,0.00128741551335694,0,0.000181042806565819,0.000341969745735436,0.000221274541358223,0,0,0,0.000201158673962021,0,0,0,0,6.03476021886064e-05,0,0,0,0,0
"FF2_SS1",0.405606610127894,0.00147255324370756,0,0.0321507458209484,0.00392680864988683,0.295683237435576,0,0,0,0,0,0.010062447165335,0,0.00141801423468136,5.4539009026206e-05,5.4539009026206e-05,0.0199067382945652,0.00809904284039159,0,0.00158163126175997,0,0,0.0655831583540127,0.0320689373074091,0.00190886531591721,2.7269504513103e-05,0,0,0.00297237599192823,0,5.4539009026206e-05,0,0,0.00897166698481089,0,0.000599929099288266,0,0.0241880505031224,0.000109078018052412,0.00111804968503722,0,0,0,0,0.00436312072209648,0.0380409587957787,0.000245425540617927,0,0,0.0302418805050312,0.00054539009026206,0,0,0,0,2.7269504513103e-05,8.1808513539309e-05,0.00100897166698481,0,0.000354503558670339,0.000299964549644133,2.7269504513103e-05,0,0,0,0,8.1808513539309e-05,0,0.000136347522565515,0,0,0.00226336887458755,0.00250879441520548,0.00215429085653514,0,0,0
"FF2_SS2",0.210068810560315,0.011557365538548,0,0.0374526049712119,0.427159106867013,0.00617890745681786,0,0.0302204746524365,0.00925431821373402,0,0.043252352197725,0.00697935683190563,0,0,0.0201657070636147,0,0.156045499227637,0.00414267659036652,0,0.00397416093245331,0,0,0.00141834012076955,0.00273837944108973,0,0.00870664232551608,0,0,0.00141834012076955,0,0.00560314562561438,0,0.00157281280719,0,0,0.000308945372840893,0,8.42578289566072e-05,0,0.000645976688667322,0,0,0,0,0.00372138744558349,0.00161494172166831,0.000112343771942143,0,0,1.40429714927679e-05,0,0,2.80859429855357e-05,0,0,5.61718859710715e-05,0,0,0.00528015728128072,0,0.000210644572391518,1.40429714927679e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FF2_SS3",0.335974982864976,0.0518334475668266,0,0.0261737491432488,0.00158498971898561,0.000128512679917752,0.00651130911583276,0.0206477039067855,0.190927004797807,0.0154215215901302,0.0460075394105552,0.0888450993831391,0.00291295407813571,0.00702535983550377,0.0187628512679918,0.0152501713502399,0.00145647703906785,0.0489204934886909,0.0113947909527073,0.0325137080191912,0,0.00111377655928718,0.000514050719671008,0.00269876627827279,0.000342700479780672,0.00839616175462646,0.000171350239890336,0,0.0163639479095271,0,0.0045407813570939,0,0.000771076079506511,0.00042837559972584,0.000257025359835504,0.000128512679917752,0.000257025359835504,0,0.00398389307745031,0.00766792323509253,0,0.0088245373543523,8.56751199451679e-05,0,0.00218471555860178,0,0.000128512679917752,4.2837559972584e-05,0,0,0.000128512679917752,0.00141363947909527,0.00145647703906785,0,0,0.0106665524331734,0,0,0.00398389307745031,0,0.000685400959561343,0.000299862919808088,0,0,0,0.000171350239890336,0,0,0,0,0,0,0,0,0,0,0
"FF3_SS1",0.520429255336239,0.132492958199013,0,0.0245151064034872,0.0413832988829508,0.0226087329042208,0.0029666598836898,0.0156044167889388,0.0693148836362468,0.00938192800762549,0.0145120005140782,0.0011352561287766,0.0193100641526812,0.00221696244015808,0.00575125038823618,0.00172430412012295,0.0075933641066284,0.000514078246993178,0.0010924162748605,0.0552312816613295,0,0.0145012905505992,0.000321298904370736,0.00207773291493076,0.000728277516573669,0.00238832185582247,2.14199269580491e-05,0.000696147626136595,0.000310588940891712,0,0.00140300521575221,0,0.0016172044853327,0,0.00570841053432008,0.000128519561748294,0.00128519561748294,9.63896713112208e-05,0.00217412258624198,0.000192779342622442,0,0.00100673656702831,0.0127448565400392,0,0.000417688575681957,0.000289169013933662,5.35498173951227e-05,6.42597808741472e-05,0,0,0.000182069379143417,0.000160649452185368,3.21298904370736e-05,0.00197063328014051,0,9.63896713112208e-05,2.14199269580491e-05,6.42597808741472e-05,0.000203489306101466,8.56797078321963e-05,0.000492658320035129,0.000246329160017564,0,0,0,2.14199269580491e-05,0.000257039123496589,0,0,0,0,9.63896713112208e-05,6.42597808741472e-05,0,0,0,0
"FF3_SS2",0.146626821910857,0.131600462349525,0,0.0959093343858363,0.000338304530461504,0.25869019762623,0.00124044994502551,0.00594852132728144,0.0320825463054326,0.00296016464153816,0.0205801922697415,0.0755546784697358,0.00146598629866652,0.00239632375743565,0.00857038143835809,0.0222999069662541,0.000535648839897381,0.0509148318344563,0.00169152265230752,0.00369315779087142,0,0,0.0560457838797891,0.00287558850892278,0.00191705900594852,0.0024527078458459,0.00183248287333315,0,0.0180147162470751,0,0.00183248287333315,0,0,0.000620224972512757,0,0.000366496574666629,0.00242451580164078,2.81920442051253e-05,0.00792196442164021,0.00648417016717882,0,0.00941614276451186,0,0,0.00349581348143554,0.00107129767979476,0.000225536353641002,0,0,0.00171971469651264,0.00202982718276902,0,0.00174790674071777,0.00327027712779454,0,0.00414423049815342,0,0.00453891911702518,0,0,0.000112768176820501,0.000197344309435877,0,0,0,0,0.000140960221025627,0,0.00197344309435877,0,0,0,0,0,0,0,0
"FF3_SS3",0.390193599893553,0.0947541747056084,4.98968797817843e-05,0.069855631694498,0.0254141441021888,0.00377553057015501,0.0279422526777992,0.0258632160202249,0.0403832080367241,0.0497139245559178,0.0168817776595037,0.00355931075776728,0.0107444614463442,0.0156343556649591,0.00628700685250482,0.00982968531701151,0,0.00197924289801078,0.000632027143902601,0.00404164726232453,0,0.0491983234648393,0.000648659437163196,0.0119253542678465,0.0421794957088683,0.00212893353735613,0.00219546271039851,0.00948040715853902,0.000299381278690706,0,0.00138048034062937,0,0.027459916173242,0.00292728361386468,0.0195595768744595,3.32645865211895e-05,0.00422460248819107,0,0.00316013571951301,0.000182955225866542,0,0.00405827955558512,0.00775064865943716,0,0.00392522120950037,0,4.98968797817843e-05,0.000981305302375092,1.66322932605948e-05,0,0.00575477346816579,1.66322932605948e-05,0.000216219812387732,8.31614663029739e-05,0,1.66322932605948e-05,0,0,0.000681924023684386,1.66322932605948e-05,0.000432439624775464,0.000166322932605948,0,0,0,0.000249484398908922,0.000981305302375092,0,0,1.66322932605948e-05,3.32645865211895e-05,0,1.66322932605948e-05,0,0,1.66322932605948e-05,0
"FF4_SS1",0.559455567745474,0.0420803620405924,0,0.0478606692265496,0.00019884805266045,0.028736972024136,0.0244377399890291,0.0100589687328579,0.00584201865057597,0.131637410861218,0.00931157432803072,0.00026055951727921,0.0460573230938014,0.0176700493691717,0.00522490400438837,0.0159352715304443,6.85682940208448e-06,0.000219418540866703,0.00392896324739441,6.17114646187603e-05,0,0.00135079539221064,0.00142622051563357,0.0113137685134394,0.0058763027975864,0.00140565002742732,0.00872874382885354,0.00309928688974218,0.000164563905650027,0,0.0016799232035107,0,0.00201590784421284,4.11409764125069e-05,0.000774821722435546,1.3713658804169e-05,0.000329127811300055,0,0.0014125068568294,6.85682940208448e-06,0,0.000555403181568843,0.000116566099835436,0,0.000953099286889742,2.74273176083379e-05,0,0.000671969281404279,0,0,0.00322956664838179,0.000226275370268788,0.00412781130005485,0.000363411958310477,0,0.000157707076247943,0,1.3713658804169e-05,1.3713658804169e-05,0,0.000685682940208448,0.000150850246845858,0,1.3713658804169e-05,0,0,3.42841470104224e-05,2.74273176083379e-05,0,0,6.85682940208448e-06,0,0,0,0,0,0
"FF4_SS2",0.420109504542988,0.135064558247497,0,0.0434042050174358,0.0919451295194803,0.0116758278661659,0.0653480987152828,0.0694531757929408,0.0722418341742294,0.0259146423370999,0.00713552664807561,0.00116059770781953,0.0135510528663002,0.00505074928402942,0.0028477628941868,0.0014023888969486,0,0.000478209240721935,0.000714627292314801,0.0053086598857671,0,0.00242328502882688,0.000209552363911859,0.00117671712042813,0.0010692543697041,0.00101014985680588,0.00589970501474926,0.0053247792983757,0.000188059813767053,0,0.000677015329561391,0,0.000999403581733482,4.83582378258136e-05,0.00132716497144177,1.0746275072403e-05,0.000596418266518368,0,0.000252537464201471,9.67164756516273e-05,0,0.000693134742169995,0.000188059813767053,0,0.000257910601737673,6.98507879706197e-05,1.0746275072403e-05,0.0014185083095572,0,5.37313753620151e-06,0.00010746275072403,0.00168179204883107,0.000236418051592867,4.83582378258136e-05,0,0,5.37313753620151e-06,5.91045128982167e-05,0.000220298638984262,0,0.000322388252172091,0.000317015114635889,0.000145074713477441,2.14925501448061e-05,0,1.61194126086045e-05,4.83582378258136e-05,1.0746275072403e-05,0,0,0,0,0,0,0,0,0
"FF4_SS3",0.0525804003415236,0.143099958890681,0.229421623501882,0.105785346108845,0.000292508617145748,0.0690715618379028,0.168216171773709,0.0563355785346109,0.00913101223792809,0.0303102172469405,0.0230528412864055,0.000585017234291497,0.0211396768175062,0.0206890554343358,0.0107358568130791,0.00512285361920121,7.90563830123644e-06,0.000434810106568004,0.00619802042816937,0.000205546595832147,0.00137558106441514,0.000498055212977896,0.00013439585112102,0.00180248553268191,0.0024507478733833,0.00321759478860323,0.00606362457704835,0.00130443031970401,0.000150207127723492,0,0.003209689150302,0,0.00313063276728963,7.90563830123644e-05,0.000387376276760586,3.95281915061822e-05,0.00124118521329412,7.90563830123644e-05,0.000735224362014989,0.00011067893621731,0.0116766277709262,0.00101192170255826,3.95281915061822e-05,0.00234006893716599,0.000347848085254403,7.90563830123644e-06,1.58112766024729e-05,0.000901242766340954,0,0,0.000474338298074187,0.00095658223444961,0.000205546595832147,0.00158112766024729,0,0.00013439585112102,0,7.90563830123644e-05,1.58112766024729e-05,0,0.000142301489422256,0.000442715744869241,0,0.00107516680896816,0,5.53394681086551e-05,0,0,7.90563830123644e-06,0,6.32451064098915e-05,0,0,0,0,0,0
"FF5_SS1",0.0204696965505795,0.0590025172194407,0,0.0435672595502199,0.202318054825593,0.0849769024370004,0.274736521811291,0.119637077812509,0.0143841110895964,0.0479378163812896,0.0147437138668363,0.000663882050289065,0.0227102984703051,0.0159331692069376,0.00661115875079528,0.00276617520953777,0,0.000553235041907554,0.00265552820115626,0.000110647008381511,0,0.00135542585267351,0.00157671986943653,0.00130010234848275,0.000304279273049155,0.00212995491134408,0.00318110149096844,0.000387264529335288,0.000193632264667644,0,0.00168736687781804,0,0.000276617520953777,0,0.00121711709219662,0.00970927498547758,0.000165970512572266,2.76617520953777e-05,0,8.29852562861332e-05,0,0.000138308760476889,0.000276617520953777,0,0,0.00060855854609831,0.00865812840585323,0.00390030704544826,0,0,0.000110647008381511,0,0.0002489557688584,5.53235041907554e-05,0,5.53235041907554e-05,0.00428757157478355,0.00398329230173439,0,0.0101518630190036,2.76617520953777e-05,0.000138308760476889,0,0.00965395148128682,0,0,0,0,0,0,0,0,0,0.000331941025144533,0,0,0
"FF5_SS2",0.103542616625745,0.610557699052964,0,0.00508593475973343,0.0862855138547878,0.00380568221676605,0.00669940371799369,0.0105752367590319,0.00192914766748509,0.00454226587162399,0.00299894773763592,0.00620834794808839,0.00110487548228692,0.00492809540512101,0.00131532795510347,3.50754121360926e-05,0,0.00292879691336373,0.000122763942476324,0.00459487898982813,0.0442125569975447,0.000263065591020694,1.75377060680463e-05,5.26131182041389e-05,0,0.000315678709224833,0.00014030164854437,0.000859347597334269,0.000982111539810593,0.0747632409680814,0.000578744300245528,0,3.50754121360926e-05,0,5.26131182041389e-05,0.00420904945633111,0.00061381971238162,0.000666432830585759,0.00249035426166257,0.00047351806383725,0,0.00249035426166257,0,0,0,0.000105226236408278,0.00247281655559453,0.00033321641529288,0,0,0,0.000263065591020694,0.000508593475973343,0.000122763942476324,0.000210452472816556,0,1.75377060680463e-05,0,0,0,0.00296387232549982,0.000894423009470361,0,0,0,5.26131182041389e-05,0.00157839354612417,0,0,0,0,0,0,0,0,0,0
"FF5_SS3",0.0585371508056103,0.000463660600440478,0,0.000463660600440478,0.229241528534446,0.00332290096982342,0,0,0,0,0.000734129284030756,0.318534832502608,0,0,3.86383833700398e-05,0,0.0327267107144237,0.163053977821568,0,0,0,0,0.00146825856806151,0,7.72767667400796e-05,7.72767667400796e-05,0,0,0.0449364398593563,0,0,0,0,0,0,0.0550210579189367,0,0,0,0.0260036320080368,0,0,0,0,0.000231830300220239,0.000231830300220239,0.0225261775047332,0,0,0,0.00869363625825896,0,0,0,0.0334994783818245,3.86383833700398e-05,0,0,0,3.86383833700398e-05,3.86383833700398e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FF6_SS1",0.141048137629118,0.108540313681507,0,0.126286654968433,0.0965285189674198,0.0905226216103765,0.0487707809475569,0.0539988060565495,0.00833951410119575,0.00691039997105592,0.0437055663090866,0.0313862407062356,0.0182347726984931,0.0731923515258959,0.0182166826462128,0.00466723348830478,0,0.024783371623944,0.000705512038929792,0.0040702617630565,0,0.00323811935816494,0.0169684690388755,0.00687421986649541,0.00698276018017692,0.00627724814124713,0.00774254237594747,0.0102751496951826,0.00975053817905534,0,0.00345519998552796,0,0.0017004649143436,0,0.00117585339821632,9.04502614012554e-05,0.000542701568407533,0,0.000958772770853308,0.00305721883536243,0,0,0.000235170679643264,0,0.00434161254726026,1.80900522802511e-05,5.42701568407533e-05,0.00195372564626712,0,0.0025506973715154,0.000198990575082762,0.00425116228585901,0.00104922303225456,0,0,1.80900522802511e-05,0,0.0058792669910816,3.61801045605022e-05,0,5.42701568407533e-05,0.000361801045605022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FF6_SS2",0.205177626606198,0.12411186696901,0,0.111148904006047,0.0887755102040816,0.0491307634164777,0.000604686318972033,0.0346560846560847,0.0589569160997732,0.00377928949357521,0.0201058201058201,0.0239229024943311,0.000264550264550265,0,0.00578231292517007,0.144860166288738,0,0.0163265306122449,7.55857898715042e-05,0.00147392290249433,0,0,0.000793650793650794,0.00241874527588813,0.00291005291005291,0.00298563869992441,0.000113378684807256,0,0.00676492819349962,0,0.00102040816326531,0,0.00018896447467876,0,0,0.00309901738473167,0.00347694633408919,0.000151171579743008,0.00158730158730159,0.00226757369614512,0,0.00347694633408919,0,0,0.000453514739229025,3.77928949357521e-05,0.00238095238095238,0,0.0572184429327287,0,0.000377928949357521,0.00200302343159486,3.77928949357521e-05,0.000226757369614512,3.77928949357521e-05,3.77928949357521e-05,3.77928949357521e-05,0.000113378684807256,0.00105820105820106,3.77928949357521e-05,0.000151171579743008,0.000415721844293273,0.0143990929705215,0,0,0,0.000453514739229025,0,0,0,0,0,3.77928949357521e-05,7.55857898715042e-05,0,0,0
"FF6_SS3",0.117203706264694,0.203291384317522,0.571589913797077,0.0207901166274835,0,0.000921956391462684,0.000184391278292537,0.00246623334716268,0.0165491172267552,9.21956391462684e-05,0.00850504771124326,0.00145208131655373,0.000898907481676117,0.00172866823399253,0.00433319503987461,0.00541649379984327,0,0.00055317383487761,4.60978195731342e-05,0.000184391278292537,0.00348038537777163,0,0.00115244548932835,0.00719125985340893,0.00274282026460148,0.00101415203060895,0.000184391278292537,0,0.000322684737011939,0,0.00122159221868806,0,0.000668418383810446,0,0,4.60978195731342e-05,0.00239708661780298,0.000484027105517909,0.000668418383810446,0.00016134236850597,0.00228184206887014,0.00260452680588208,0,0.00318074955054626,0.00131378785783432,6.91467293597013e-05,0,0,4.60978195731342e-05,0,0.000299635827225372,0.00919651500484027,0.00016134236850597,0,0,0.00129073894804776,0,0,0.000391831466371641,0,0.000138293458719403,0.000668418383810446,0,0,0,0,0,0,0,0,2.30489097865671e-05,0,4.60978195731342e-05,0.000345733646798506,0,0,0
"FF7_SS1",0.31255580594413,0.123389599897955,0,0.129406012160381,0.00218971895063566,0.0657553467409329,0.0472596624006123,0.0899910710489392,0.028041158212509,0.0323780772992049,0.0237467579403886,0.00401802797737999,0.0119477868957013,0.00869509758067945,0.00901398868999532,0.00950295505761299,0,0.00269994472554105,0.013903652366172,0,0,0.00112674858624942,0.00376291508992729,0.00267868531825333,0.00184956843403206,0.00427314086483269,0.00705812321952464,0.00622900633530337,0.00129682384455121,0,0.00276372294740423,0,0.000425188145754496,8.50376291508993e-05,0.000403928738466772,8.50376291508993e-05,0.000191334665589523,0.0301883583485692,0.000148815851014074,0.000382669331179047,0,0,2.12594072877248e-05,0,0.000977932735235342,0.000127556443726349,0.000106297036438624,0.00153067732471619,0,4.25188145754496e-05,8.50376291508993e-05,0,8.50376291508993e-05,0,0,0,0.0126918661507717,2.12594072877248e-05,0,0.00263616650367788,0.000276372294740423,0.000382669331179047,0,0,0,0,0,0,0.00357158042433777,0,0,0,0,0,0,0,0
"FF7_SS2",0.214955550136342,0.139978273882103,0.0881016250249407,0.0711862903762166,4.43390161172324e-05,0.00299288358791318,0.206109916420955,0.0557563127674197,0.0501695967366484,0.0482408495355488,0.00813620945751214,0.000310373112820627,0.0121932294322389,0.0400159620458022,0.00436739308754739,0.000798102290110182,0,0.000332542620879243,0.00208393375750992,0.000443390161172324,0.000266034096703394,0.00498813931318864,0.00121932294322389,0.00412352849890261,0.00046555966923094,0.00117498392710666,0.00436739308754739,0.0205733034783958,8.86780322344647e-05,0,0.00121932294322389,0,0.000908949830403263,0.000266034096703394,0.00290420555567872,6.65085241758485e-05,0.000332542620879243,6.65085241758485e-05,0.00152969605604452,4.43390161172324e-05,0.000243864588644778,0.00128583146739974,0.000310373112820627,0,0,0,0,0.00549803799853681,6.65085241758485e-05,0,4.43390161172324e-05,0.000687254749817102,4.43390161172324e-05,0,0,0.000133017048351697,0,0,2.21695080586162e-05,0,0.000221695080586162,0.000354712128937859,0.000110847540293081,0,0,0,0,0,0,0,0,2.21695080586162e-05,2.21695080586162e-05,0.000110847540293081,0,0,0
"FF7_SS3",0.812544883763875,0.0135112953197776,0,0.00968463385107824,0.0417342060446888,0.00101565545683977,0.0304594045591645,0.0333422245932249,0.00327266758315038,0.0117774996409299,0.00270841455157273,0.000328292672917906,0.00160042678047479,0.00635041139175575,0.00120032008535609,0.00169275909473295,0,0.000174405482487638,0.00129265239961426,0.000543734739520282,0,0.00298541149434721,5.12957301434229e-05,0.00132342983770031,0,0.000697621929950551,0,0.00546812483328888,3.07774380860537e-05,0,0.000410365841147383,0,0.0037240700084125,0,0.0020620883517656,0.00364199684018302,0,0,0,4.10365841147383e-05,0,0,0.000276996942774483,0,0,0.000143628044401584,0.00234934444056877,0.00203131091367955,0,0,0,0,0,0.000923323142581612,0,0,0,0,0,0,0.000574512177606336,3.07774380860537e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FF8_SS1",0.23329834753106,0.117308208645561,0,0.115868095389197,0.000829895774854158,0.000659034880031243,0.0818423686201762,0.0268007517879372,0.109887964070395,0.0583367912323952,0.0701994190729576,0.00222119163269789,0.00961702750860407,0.0333911005882497,0.0269472039834997,0.00349044399423955,0.00722497498108326,0.00122043496302082,0.00109839146671874,0.000122043496302082,0,0.0381752056432913,0.000170860894822915,0.00695647928921868,0.00353926139276038,0.00944616661378115,0.00263613952012497,0.00263613952012497,0.000585808782249994,0,0.00573604432619786,0,0.00126925236154165,7.32260977812492e-05,0.0177695330615831,0.000829895774854158,0.000585808782249994,0,0.000219678293343748,9.76347970416657e-05,0,0.000219678293343748,0.00212355683565623,0,0.000244086992604164,0.000122043496302082,0.000463765285947912,0.00319753960311455,0,0,9.76347970416657e-05,0.000488173985208328,0.000366130488906246,0.000317313090385413,0,0,4.88173985208328e-05,0.000170860894822915,4.88173985208328e-05,9.76347970416657e-05,0.000195269594083331,0.000170860894822915,0,4.88173985208328e-05,0,0,4.88173985208328e-05,0,0,0,0,2.44086992604164e-05,0,0.000414947887427079,0,0,0
"FF8_SS2",0.433010648596321,0.0756050338818974,0,0.0439496611810261,0,9.68054211035818e-05,0.0124878993223621,0.145304937076476,0.0887705711519845,0.0612778315585673,0.0226524685382381,0.00493707647628267,0.00435624394966118,0.0205227492739593,0.0103581800580833,0.00774443368828654,0.000290416263310745,0.00290416263310745,0.00551790900290416,0.00338818973862536,0,0.00542110358180058,0.0031945788964182,0.00271055179090029,0,0.00367860600193611,0.00377541142303969,0.00387221684414327,0.000968054211035818,0,0.0031945788964182,0,0.00387221684414327,0.00290416263310745,0.00348499515972894,0,0.000968054211035818,0,0,9.68054211035818e-05,0,0,0.000484027105517909,0,0,0,0,0.00154888673765731,0,0,0,0,0,0,0,9.68054211035818e-05,0,0,0,0,0,0.000193610842207164,0,0,0,0,0.0163601161665053,0,0,0,0,0,0,0,0,0,0
"FF8_SS3",0.109533710953371,0.379006237900624,0,0.122152912215291,0.000788700078870008,0,0.0149614014961401,0.0474893047489305,0.00358500035850004,0.0267919026791903,0.0530102053010205,0.00148180014818001,0.00578380057838006,0.00869960086996009,0.0241868024186802,0.00475610047561005,0,0.00095600009560001,0.00924930092493009,0.000860400086040009,0,0.00124280012428001,0.00908200090820009,0.00365670036567004,0.00162520016252002,0.00743290074329007,0.00227050022705002,0.00121890012189001,0.000382400038240004,0.00155350015535002,0.00848450084845009,0.0919672091967209,0.000239000023900002,0,0.000597500059750006,0.000215100021510002,0.0246648024664802,4.78000047800005e-05,0.00138620013862001,0.000119500011950001,0,0,4.78000047800005e-05,0.000143400014340001,0.000239000023900002,0.000167300016730002,0.000215100021510002,0.00097990009799001,0,0,2.39000023900002e-05,0.000167300016730002,0.00556870055687006,0,0,0.00446930044693004,0,0,7.17000071700007e-05,0,0.000191200019120002,0.000812600081260008,0,0,0.0107550010755001,0,7.17000071700007e-05,0.00650080065008007,0,0,7.17000071700007e-05,0,0,0,0,0,2.39000023900002e-05
